utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210718	11	JCMTCAL	RHya	a20210718_00011_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210718	11	JCMTCAL	RHya	a20210718_00011_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210718	12	JCMTCAL	RHya	a20210718_00012_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210718	12	JCMTCAL	RHya	a20210718_00012_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210718	13	JCMTCAL	RHya	a20210718_00013_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210718	13	JCMTCAL	RHya	a20210718_00013_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210718	14	JCMTCAL	RHya	a20210718_00014_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210718	14	JCMTCAL	RHya	a20210718_00014_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210718	15	JCMTCAL	RHya	a20210718_00015_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210718	15	JCMTCAL	RHya	a20210718_00015_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210718	16	JCMTCAL	RHya	a20210718_00016_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210718	16	JCMTCAL	RHya	a20210718_00016_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210718	17	JCMTCAL	RHya	a20210718_00017_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210718	17	JCMTCAL	RHya	a20210718_00017_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210718	18	JCMTCAL	RHya	a20210718_00018_01_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	LSB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210718	18	JCMTCAL	RHya	a20210718_00018_02_0001.sdf	Aweoweo 5GHz Point Focus-ZXY Point (7-sample)	USB	2	1000MHzx2048	355.7959899	No Line	No Line
20210718	19	JCMTCAL	MOON	a20210718_00019_01_0001.sdf	Moon 346.1	LSB	1	1000MHzx2048	346.2	No Line	No Line
20210718	19	JCMTCAL	MOON	a20210718_00019_02_0001.sdf	Moon 346.1	USB	2	1000MHzx2048	358.2	No Line	No Line
20210718	20	JCMTCAL	MOON	a20210718_00020_01_0001.sdf	Moon 290	LSB	1	1000MHzx2048	290	No Line	No Line
20210718	20	JCMTCAL	MOON	a20210718_00020_02_0001.sdf	Moon 290	USB	2	1000MHzx2048	302	No Line	No Line
20210718	21	JCMTCAL	MOON	a20210718_00021_01_0001.sdf	Moon 360	USB	1	1000MHzx2048	360	No Line	No Line
20210718	21	JCMTCAL	MOON	a20210718_00021_02_0001.sdf	Moon 360	LSB	2	1000MHzx2048	348	No Line	No Line
